index,type,capacity,carrierId,min_capacity,costPerKmPerWeight,additionalDeliveryCost,maxDistanceBetweenCustomers
0,2,25.0,0,21.25,1.2100000000000002,20.0,10.0
1,2,25.0,0,21.25,1.2100000000000002,20.0,10.0
2,1,25.0,0,21.25,1.1,20.0,10.0
3,1,25.0,0,21.25,1.1,20.0,10.0
4,1,25.0,2,21.25,1.1,20.0,10.0
5,1,25.0,0,21.25,1.1,20.0,10.0
6,2,25.0,3,21.25,1.2100000000000002,20.0,10.0
7,1,25.0,0,21.25,1.1,20.0,10.0
8,1,25.0,2,21.25,1.1,20.0,10.0
9,1,25.0,3,21.25,1.1,20.0,10.0
10,1,25.0,3,21.25,1.1,20.0,10.0
11,1,25.0,4,21.25,1.1,20.0,10.0
12,2,25.0,0,21.25,1.2100000000000002,20.0,10.0
13,1,25.0,4,21.25,1.1,20.0,10.0
14,1,25.0,4,21.25,1.1,20.0,10.0
15,1,25.0,4,21.25,1.1,20.0,10.0
16,2,25.0,2,21.25,1.2100000000000002,20.0,10.0
17,1,25.0,3,21.25,1.1,20.0,10.0
18,2,25.0,2,21.25,1.2100000000000002,20.0,10.0
19,2,25.0,0,21.25,1.2100000000000002,20.0,10.0
20,1,25.0,3,21.25,1.1,20.0,10.0
21,1,25.0,0,21.25,1.1,20.0,10.0
22,1,25.0,0,21.25,1.1,20.0,10.0
23,2,25.0,0,21.25,1.2100000000000002,20.0,10.0
24,2,25.0,3,21.25,1.2100000000000002,20.0,10.0
25,2,25.0,3,21.25,1.2100000000000002,20.0,10.0
26,2,25.0,2,21.25,1.2100000000000002,20.0,10.0
27,2,25.0,0,21.25,1.2100000000000002,20.0,10.0
28,2,25.0,0,21.25,1.2100000000000002,20.0,10.0
29,1,25.0,2,21.25,1.1,20.0,10.0
30,2,25.0,2,21.25,1.2100000000000002,20.0,10.0
31,1,25.0,3,21.25,1.1,20.0,10.0
32,2,25.0,2,21.25,1.2100000000000002,20.0,10.0
33,1,25.0,4,21.25,1.1,20.0,10.0
34,2,25.0,2,21.25,1.2100000000000002,20.0,10.0
35,2,25.0,2,21.25,1.2100000000000002,20.0,10.0
36,1,25.0,2,21.25,1.1,20.0,10.0
37,2,25.0,2,21.25,1.2100000000000002,20.0,10.0
38,1,25.0,3,21.25,1.1,20.0,10.0
39,2,25.0,0,21.25,1.2100000000000002,20.0,10.0
40,1,25.0,0,21.25,1.1,20.0,10.0
41,2,25.0,2,21.25,1.2100000000000002,20.0,10.0
42,2,25.0,1,23.75,1.2100000000000002,20.0,20.0
43,2,25.0,1,23.75,1.2100000000000002,20.0,20.0
44,1,25.0,1,23.75,1.1,20.0,20.0
45,2,25.0,1,23.75,1.2100000000000002,20.0,20.0
46,2,25.0,4,21.25,1.2100000000000002,20.0,10.0
47,2,25.0,0,21.25,1.2100000000000002,20.0,10.0
48,1,25.0,3,21.25,1.1,20.0,10.0
49,2,25.0,3,21.25,1.2100000000000002,20.0,10.0
50,1,25.0,1,23.75,1.1,20.0,20.0
51,2,25.0,1,23.75,1.2100000000000002,20.0,20.0
52,2,25.0,0,21.25,1.2100000000000002,20.0,10.0
53,2,25.0,2,21.25,1.2100000000000002,20.0,10.0
54,1,25.0,4,21.25,1.1,20.0,10.0
55,2,25.0,3,21.25,1.2100000000000002,20.0,10.0
56,2,25.0,3,21.25,1.2100000000000002,20.0,10.0
57,1,25.0,0,21.25,1.1,20.0,10.0
58,1,25.0,0,21.25,1.1,20.0,10.0
59,2,25.0,4,21.25,1.2100000000000002,20.0,10.0
60,2,25.0,0,21.25,1.2100000000000002,20.0,10.0
61,2,25.0,0,21.25,1.2100000000000002,20.0,10.0
62,1,25.0,0,21.25,1.1,20.0,10.0
63,2,25.0,3,21.25,1.2100000000000002,20.0,10.0
64,2,25.0,3,21.25,1.2100000000000002,20.0,10.0
65,1,25.0,3,21.25,1.1,20.0,10.0
66,2,25.0,2,21.25,1.2100000000000002,20.0,10.0
67,1,25.0,0,21.25,1.1,20.0,10.0
68,2,25.0,0,21.25,1.2100000000000002,20.0,10.0
69,1,25.0,4,21.25,1.1,20.0,10.0
70,2,25.0,3,21.25,1.2100000000000002,20.0,10.0
71,1,25.0,0,21.25,1.1,20.0,10.0
72,1,25.0,0,21.25,1.1,20.0,10.0
73,2,25.0,1,23.75,1.2100000000000002,20.0,20.0
74,2,25.0,1,23.75,1.2100000000000002,20.0,20.0
75,1,25.0,2,21.25,1.1,20.0,10.0
76,2,25.0,1,23.75,1.2100000000000002,20.0,20.0
