index,type,capacity,carrierId,min_capacity,costPerKmPerWeight,additionalDeliveryCost,maxDistanceBetweenCustomers
0,2,25.0,3,21.25,1.21,20.0,20.0
1,1,25.0,1,22.5,1.1,20.0,20.0
2,2,25.0,1,22.5,1.21,20.0,20.0
3,2,25.0,0,22.5,1.21,20.0,20.0
4,1,25.0,1,22.5,1.1,20.0,20.0
5,2,25.0,1,22.5,1.21,20.0,20.0
6,1,25.0,1,22.5,1.1,20.0,20.0
7,2,25.0,3,21.25,1.21,20.0,20.0
8,2,25.0,3,21.25,1.21,20.0,20.0
9,1,25.0,3,21.25,1.1,20.0,20.0
10,1,25.0,0,22.5,1.1,20.0,20.0
11,1,25.0,3,21.25,1.1,20.0,20.0
12,2,25.0,3,21.25,1.21,20.0,20.0
13,2,25.0,3,21.25,1.21,20.0,20.0
14,1,25.0,3,21.25,1.1,20.0,20.0
15,2,25.0,3,21.25,1.21,20.0,20.0
16,1,25.0,3,21.25,1.1,20.0,20.0
17,1,25.0,2,22.5,1.1,20.0,20.0
18,2,25.0,3,21.25,1.21,20.0,20.0
19,1,25.0,0,22.5,1.1,20.0,20.0
20,2,25.0,1,22.5,1.21,20.0,20.0
21,2,25.0,1,22.5,1.21,20.0,20.0
22,1,25.0,3,21.25,1.1,20.0,20.0
23,1,25.0,0,22.5,1.1,20.0,20.0
24,2,25.0,0,22.5,1.21,20.0,20.0
25,1,25.0,0,22.5,1.1,20.0,20.0
26,2,25.0,0,22.5,1.21,20.0,20.0
27,2,25.0,0,22.5,1.21,20.0,20.0
28,2,25.0,4,21.25,1.21,20.0,20.0
29,1,25.0,3,21.25,1.1,20.0,20.0
30,1,25.0,4,21.25,1.1,20.0,20.0
31,1,25.0,3,21.25,1.1,20.0,20.0
32,1,25.0,3,21.25,1.1,20.0,20.0
33,2,25.0,3,21.25,1.21,20.0,20.0
34,2,25.0,0,22.5,1.21,20.0,20.0
35,2,25.0,0,22.5,1.21,20.0,20.0
36,2,25.0,4,21.25,1.21,20.0,20.0
37,1,25.0,1,22.5,1.1,20.0,20.0
38,1,25.0,1,22.5,1.1,20.0,20.0
39,2,25.0,1,22.5,1.21,20.0,20.0
40,2,25.0,0,22.5,1.21,20.0,20.0
41,2,25.0,0,22.5,1.21,20.0,20.0
42,2,25.0,2,22.5,1.21,20.0,20.0
43,2,25.0,1,22.5,1.21,20.0,20.0
44,1,25.0,1,22.5,1.1,20.0,20.0
45,1,25.0,2,22.5,1.1,20.0,20.0
46,2,25.0,2,22.5,1.21,20.0,20.0
47,2,25.0,1,22.5,1.21,20.0,20.0
48,2,25.0,2,22.5,1.21,20.0,20.0
49,2,25.0,1,22.5,1.21,20.0,20.0
50,1,25.0,2,22.5,1.1,20.0,20.0
51,2,25.0,1,22.5,1.21,20.0,20.0
52,2,25.0,1,22.5,1.21,20.0,20.0
53,1,25.0,1,22.5,1.1,20.0,20.0
54,1,25.0,2,22.5,1.1,20.0,20.0
55,2,25.0,2,22.5,1.21,20.0,20.0
56,1,25.0,3,21.25,1.1,20.0,20.0
57,2,25.0,0,22.5,1.21,20.0,20.0
58,1,25.0,0,22.5,1.1,20.0,20.0
59,2,25.0,4,21.25,1.21,20.0,20.0
