index,type,capacity,carrierId,min_capacity,costPerKmPerWeight,additionalDeliveryCost,maxDistanceBetweenCustomers
0,2,25.0,0,21.25,1.21,20.0,10.0
1,1,25.0,0,21.25,1.1,20.0,10.0
2,1,25.0,2,21.25,1.1,20.0,20.0
3,1,25.0,1,23.75,1.1,20.0,20.0
4,1,25.0,2,21.25,1.1,20.0,20.0
5,2,25.0,0,21.25,1.21,20.0,10.0
6,1,25.0,2,21.25,1.1,20.0,20.0
7,2,25.0,1,23.75,1.21,20.0,20.0
8,2,25.0,4,23.75,1.21,20.0,20.0
9,2,25.0,0,21.25,1.21,20.0,10.0
10,1,25.0,4,23.75,1.1,20.0,20.0
11,1,25.0,3,21.25,1.1,20.0,10.0
12,2,25.0,4,23.75,1.21,20.0,20.0
13,2,25.0,0,21.25,1.21,20.0,10.0
14,2,25.0,0,21.25,1.21,20.0,10.0
15,1,25.0,4,23.75,1.1,20.0,20.0
16,1,25.0,4,23.75,1.1,20.0,20.0
17,2,25.0,0,21.25,1.21,20.0,10.0
18,2,25.0,1,23.75,1.21,20.0,20.0
19,1,25.0,0,21.25,1.1,20.0,10.0
20,1,25.0,0,21.25,1.1,20.0,10.0
21,2,25.0,0,21.25,1.21,20.0,10.0
22,1,25.0,1,23.75,1.1,20.0,20.0
23,1,25.0,1,23.75,1.1,20.0,20.0
24,2,25.0,1,23.75,1.21,20.0,20.0
25,2,25.0,4,23.75,1.21,20.0,20.0
26,2,25.0,4,23.75,1.21,20.0,20.0
27,2,25.0,0,21.25,1.21,20.0,10.0
28,2,25.0,4,23.75,1.21,20.0,20.0
29,2,25.0,4,23.75,1.21,20.0,20.0
30,2,25.0,1,23.75,1.21,20.0,20.0
31,1,25.0,2,21.25,1.1,20.0,20.0
32,1,25.0,3,21.25,1.1,20.0,10.0
33,1,25.0,2,21.25,1.1,20.0,20.0
34,1,25.0,0,21.25,1.1,20.0,10.0
35,1,25.0,0,21.25,1.1,20.0,10.0
36,2,25.0,4,23.75,1.21,20.0,20.0
37,2,25.0,4,23.75,1.21,20.0,20.0
38,2,25.0,0,21.25,1.21,20.0,10.0
39,1,25.0,0,21.25,1.1,20.0,10.0
40,2,25.0,3,21.25,1.21,20.0,10.0
41,2,25.0,2,21.25,1.21,20.0,20.0
42,2,25.0,4,23.75,1.21,20.0,20.0
43,1,25.0,0,21.25,1.1,20.0,10.0
44,1,25.0,0,21.25,1.1,20.0,10.0
45,2,25.0,0,21.25,1.21,20.0,10.0
46,2,25.0,3,21.25,1.21,20.0,10.0
47,1,25.0,0,21.25,1.1,20.0,10.0
48,1,25.0,3,21.25,1.1,20.0,10.0
49,2,25.0,0,21.25,1.21,20.0,10.0
50,2,25.0,1,23.75,1.21,20.0,20.0
51,1,25.0,0,21.25,1.1,20.0,10.0
52,1,25.0,0,21.25,1.1,20.0,10.0
53,1,25.0,0,21.25,1.1,20.0,10.0
54,2,25.0,0,21.25,1.21,20.0,10.0
55,1,25.0,0,21.25,1.1,20.0,10.0
56,1,25.0,0,21.25,1.1,20.0,10.0
57,2,25.0,4,23.75,1.21,20.0,20.0
58,1,25.0,1,23.75,1.1,20.0,20.0
59,2,25.0,0,21.25,1.21,20.0,10.0
60,1,25.0,1,23.75,1.1,20.0,20.0
61,2,25.0,1,23.75,1.21,20.0,20.0
62,2,25.0,1,23.75,1.21,20.0,20.0
63,1,25.0,1,23.75,1.1,20.0,20.0
64,2,25.0,1,23.75,1.21,20.0,20.0
65,2,25.0,1,23.75,1.21,20.0,20.0
66,1,25.0,3,21.25,1.1,20.0,10.0
67,1,25.0,2,21.25,1.1,20.0,20.0
68,2,25.0,2,21.25,1.21,20.0,20.0
69,2,25.0,1,23.75,1.21,20.0,20.0
70,2,25.0,2,21.25,1.21,20.0,20.0
71,1,25.0,2,21.25,1.1,20.0,20.0
72,2,25.0,0,21.25,1.21,20.0,10.0
73,2,25.0,0,21.25,1.21,20.0,10.0
74,1,25.0,1,23.75,1.1,20.0,20.0
75,2,25.0,4,23.75,1.21,20.0,20.0
76,2,25.0,2,21.25,1.21,20.0,20.0
77,1,25.0,0,21.25,1.1,20.0,10.0
78,1,25.0,0,21.25,1.1,20.0,10.0
