index,type,capacity,carrierId,min_capacity,costPerKmPerWeight,additionalDeliveryCost,maxDistanceBetweenCustomers
0,1,25.0,3,23.75,1.1,20.0,20.0
1,2,25.0,3,23.75,1.21,20.0,20.0
2,1,25.0,0,23.75,1.1,20.0,10.0
3,2,25.0,3,23.75,1.21,20.0,20.0
4,1,25.0,3,23.75,1.1,20.0,20.0
5,2,25.0,3,23.75,1.21,20.0,20.0
6,1,25.0,4,22.5,1.1,20.0,10.0
7,2,25.0,3,23.75,1.21,20.0,20.0
8,1,25.0,3,23.75,1.1,20.0,20.0
9,1,25.0,4,22.5,1.1,20.0,10.0
10,2,25.0,0,23.75,1.21,20.0,10.0
11,1,25.0,1,23.75,1.1,20.0,10.0
12,2,25.0,0,23.75,1.21,20.0,10.0
13,1,25.0,1,23.75,1.1,20.0,10.0
14,1,25.0,4,22.5,1.1,20.0,10.0
15,1,25.0,4,22.5,1.1,20.0,10.0
16,2,25.0,0,23.75,1.21,20.0,10.0
17,1,25.0,1,23.75,1.1,20.0,10.0
18,2,25.0,1,23.75,1.21,20.0,10.0
19,2,25.0,1,23.75,1.21,20.0,10.0
20,1,25.0,3,23.75,1.1,20.0,20.0
21,2,25.0,0,23.75,1.21,20.0,10.0
22,2,25.0,3,23.75,1.21,20.0,20.0
23,1,25.0,0,23.75,1.1,20.0,10.0
24,1,25.0,3,23.75,1.1,20.0,20.0
25,1,25.0,4,22.5,1.1,20.0,10.0
26,2,25.0,3,23.75,1.21,20.0,20.0
27,1,25.0,0,23.75,1.1,20.0,10.0
28,2,25.0,0,23.75,1.21,20.0,10.0
29,1,25.0,0,23.75,1.1,20.0,10.0
30,1,25.0,0,23.75,1.1,20.0,10.0
31,1,25.0,1,23.75,1.1,20.0,10.0
32,1,25.0,0,23.75,1.1,20.0,10.0
33,2,25.0,4,22.5,1.21,20.0,10.0
34,2,25.0,4,22.5,1.21,20.0,10.0
35,1,25.0,1,23.75,1.1,20.0,10.0
36,1,25.0,2,21.25,1.1,20.0,20.0
37,2,25.0,2,21.25,1.21,20.0,20.0
38,1,25.0,3,23.75,1.1,20.0,20.0
39,2,25.0,2,21.25,1.21,20.0,20.0
40,2,25.0,0,23.75,1.21,20.0,10.0
41,1,25.0,0,23.75,1.1,20.0,10.0
42,2,25.0,2,21.25,1.21,20.0,20.0
43,1,25.0,4,22.5,1.1,20.0,10.0
44,1,25.0,0,23.75,1.1,20.0,10.0
45,1,25.0,0,23.75,1.1,20.0,10.0
46,2,25.0,0,23.75,1.21,20.0,10.0
47,2,25.0,2,21.25,1.21,20.0,20.0
48,2,25.0,3,23.75,1.21,20.0,20.0
49,1,25.0,0,23.75,1.1,20.0,10.0
50,1,25.0,2,21.25,1.1,20.0,20.0
51,2,25.0,0,23.75,1.21,20.0,10.0
52,2,25.0,1,23.75,1.21,20.0,10.0
53,1,25.0,1,23.75,1.1,20.0,10.0
54,2,25.0,1,23.75,1.21,20.0,10.0
55,2,25.0,2,21.25,1.21,20.0,20.0
56,1,25.0,2,21.25,1.1,20.0,20.0
57,1,25.0,1,23.75,1.1,20.0,10.0
58,2,25.0,4,22.5,1.21,20.0,10.0
59,2,25.0,3,23.75,1.21,20.0,20.0
60,1,25.0,0,23.75,1.1,20.0,10.0
61,2,25.0,0,23.75,1.21,20.0,10.0
62,1,25.0,4,22.5,1.1,20.0,10.0
63,1,25.0,4,22.5,1.1,20.0,10.0
64,1,25.0,0,23.75,1.1,20.0,10.0
65,1,25.0,3,23.75,1.1,20.0,20.0
66,1,25.0,0,23.75,1.1,20.0,10.0
67,1,25.0,4,22.5,1.1,20.0,10.0
68,2,25.0,3,23.75,1.21,20.0,20.0
69,1,25.0,0,23.75,1.1,20.0,10.0
70,1,25.0,3,23.75,1.1,20.0,20.0
71,1,25.0,0,23.75,1.1,20.0,10.0
72,2,25.0,2,21.25,1.21,20.0,20.0
73,2,25.0,3,23.75,1.21,20.0,20.0
74,2,25.0,4,22.5,1.21,20.0,10.0
75,2,25.0,4,22.5,1.21,20.0,10.0
76,1,25.0,4,22.5,1.1,20.0,10.0
77,2,25.0,0,23.75,1.21,20.0,10.0
